Test Size,Skip List Insertion Avg (ms),Tree Set Insertion Avg (ms),Skip List Deletion Avg (ms),Tree Set Deletion Avg (ms),Skip List Actions Avg (ms),Tree Set Actions Avg (ms)
50000,54.666666666666664,24.0,39.666666666666664,18.0,94.33333333333333,42.0
100000,59.666666666666664,25.333333333333332,51.333333333333336,27.666666666666668,111.0,53.0
150000,101.66666666666667,39.0,140.0,44.0,241.66666666666666,83.0
200000,134.0,48.0,146.33333333333334,52.0,280.3333333333333,100.0
250000,163.66666666666666,52.0,183.33333333333334,66.33333333333333,347.0,118.33333333333333
300000,237.33333333333334,70.66666666666667,305.0,93.33333333333333,542.3333333333334,164.0
350000,252.0,85.0,322.0,138.33333333333334,574.0,223.33333333333334
400000,345.3333333333333,101.66666666666667,425.0,138.33333333333334,770.3333333333334,240.0
450000,400.6666666666667,121.66666666666667,434.6666666666667,187.33333333333334,835.3333333333334,309.0
500000,460.6666666666667,143.33333333333334,457.3333333333333,223.66666666666666,918.0,367.0
